OrderID,CustomerName,AreaName,DeliveryAgent,FoodItem,UnitPrice,UnitPriceDiscount,OrderQuantity,OrderDate,OrderMonth,PaymentMethod,OrderStatus,OrderDetails,FoodCategory
ord_15038,Tanvi Gupta,BTM Layout,Anil Gupta,Fish Curry,190,17.1,1,06/01/23,January,UPI,Cancelled,Refund Initiated,Indian-Non Veg
ord_15039,Naveen Kumar,Koramangala,Sneha Verma,Pizza,300,33,3,06/01/23,January,Credit Card,Delivered,On Time,Non Indian-Veg
ord_15040,Nisha Gupta,Koramangala,Ananya Reddy,Sushi,350,38.5,1,06/01/23,January,UPI,Delivered,On Time,Non Indian-Non Veg
ord_15041,Arjun Shah,MG Road,Manoj Singh,Fried Rice,150,12,2,06/01/23,January,Online Payment,Delivered,Late,Non Indian-Veg
ord_15042,Arjun Shah,MG Road,Anil Gupta,Masala Dosa,100,10,1,06/01/23,January,Online Payment,Delivered,Before Time,Indian-Veg
ord_15043,Sneha Jain,HSR Layout,Sneha Verma,Chicken Curry,200,10,2,06/01/23,January,Online Payment,Delivered,On Time,Indian-Non Veg
ord_15044,Nisha Gupta,Koramangala,Siddharth Singh,Chicken Biryani,220,17.6,2,07/01/23,January,Online Payment,Delivered,On Time,Indian-Non Veg
ord_15045,Sneha Jain,HSR Layout,Ananya Reddy,Butter Chicken,280,16.8,3,07/01/23,January,Credit Card,Delivered,Before Time,Indian-Non Veg
ord_15046,Priya Singh,Brigade Road,Anil Gupta,Butter Chicken,280,42,3,07/01/23,January,UPI,Delivered,On Time,Indian-Non Veg
ord_15047,Rohit Singh,Indiranagar,Ananya Reddy,Sushi,350,35,1,07/01/23,January,Credit Card,Delivered,Late,Non Indian-Non Veg
ord_15048,Tanvi Gupta,BTM Layout,Sneha Verma,Chicken Curry,200,18,2,07/01/23,January,Credit Card,Cancelled,Refund Initiated,Indian-Non Veg
ord_15049,Sneha Jain,HSR Layout,Manoj Singh,Masala Dosa,100,5,1,07/01/23,January,Credit Card,Delivered,On Time,Indian-Veg
ord_15050,Deepak Sharma,HSR Layout,Ravi Tiwari,Veg Biryani,230,18.4,2,07/01/23,January,UPI,Delivered,Late,Indian-Veg
ord_15051,Karan Sharma,Marathahalli,Divya Patel,Butter Chicken,280,33.6,3,07/01/23,January,UPI,Delivered,On Time,Indian-Non Veg
ord_15052,Naveen Kumar,Koramangala,Sneha Verma,Pizza,300,33,3,07/01/23,January,Online Payment,Cancelled,Refund Initiated,Non Indian-Veg
ord_15053,Pooja Patel,BTM Layout,Manoj Singh,Biryani,250,15,2,08/01/23,January,UPI,Cancelled,Refund Initiated,Indian-Veg
ord_15054,Neha Patel,Whitefield,Pooja Sharma,Samosa,20,2.2,5,08/01/23,January,Credit Card,Delivered,Before Time,Indian-Veg
ord_15055,Arjun Shah,MG Road,Ravi Tiwari,Veg Biryani,230,25.3,2,08/01/23,January,Online Payment,Cancelled,Refund Not Initiated,Indian-Veg
ord_15056,Rahul Sharma,MG Road,Pooja Sharma,Tandoori Chicken,280,14,3,08/01/23,January,UPI,Delivered,On Time,Indian-Non Veg
ord_15057,Pooja Patel,BTM Layout,Ravi Tiwari,Chicken Curry,200,26,2,08/01/23,January,UPI,Delivered,Before Time,Indian-Non Veg
ord_15058,Deepak Sharma,HSR Layout,Sneha Verma,Butter Naan,50,2.5,4,08/01/23,January,UPI,Delivered,Before Time,Indian-Veg
ord_15059,Priyanka Singh,Koramangala,Sneha Verma,Fish Curry,190,20.9,1,09/01/23,January,UPI,Delivered,On Time,Indian-Non Veg
ord_15060,Naveen Kumar,Koramangala,Ananya Reddy,Hakka Noodles,160,9.6,1,09/01/23,January,UPI,Delivered,On Time,Non Indian-Non Veg
ord_15061,Neha Patel,Whitefield,Pooja Sharma,Fish Curry,190,22.8,1,09/01/23,January,Online Payment,Delivered,On Time,Indian-Non Veg
ord_15062,Rohan Patel,Indiranagar,Pooja Sharma,Pizza,300,21,3,10/01/23,January,Online Payment,Cancelled,Refund Initiated,Non Indian-Veg
ord_15063,Naveen Kumar,Koramangala,Pooja Sharma,Chicken Biryani,220,19.8,2,10/01/23,January,Credit Card,Delivered,Before Time,Indian-Non Veg
ord_15064,Kriti Patel,Whitefield,Siddharth Singh,Pasta,200,26,2,10/01/23,January,Credit Card,Delivered,On Time,Non Indian-Veg
ord_15065,Kriti Patel,Whitefield,Ananya Reddy,Butter Naan,50,4,4,10/01/23,January,UPI,Cancelled,Refund Initiated,Indian-Veg
ord_15066,Tanvi Gupta,BTM Layout,Ananya Reddy,Pav Bhaji,150,13.5,2,10/01/23,January,Credit Card,Delivered,On Time,Indian-Veg
ord_15067,Raj Kapoor,Malleswaram,Sneha Verma,Fried Rice,150,15,2,10/01/23,January,UPI,Cancelled,Refund Initiated,Non Indian-Veg
ord_15068,Aryan Shah,Jayanagar,Ananya Reddy,Sushi,350,38.5,1,11/01/23,January,Credit Card,Delivered,Late,Non Indian-Non Veg
ord_15069,Kriti Patel,Whitefield,Anil Gupta,Paneer Tikka,180,12.6,1,11/01/23,January,UPI,Delivered,On Time,Indian-Veg
ord_15070,Rohit Singh,Indiranagar,Rajesh Kumar,Chicken Curry,200,30,2,11/01/23,January,Online Payment,Delivered,Late,Indian-Non Veg
ord_15071,Raj Kapoor,Malleswaram,Divya Patel,Veg Biryani,230,20.7,2,11/01/23,January,Credit Card,Cancelled,Refund Initiated,Indian-Veg
ord_15072,Kriti Patel,Whitefield,Rajesh Kumar,Paneer Tikka,180,9,1,11/01/23,January,Online Payment,Cancelled,Refund Initiated,Indian-Veg
ord_15073,Pooja Patel,BTM Layout,Anil Gupta,Sushi,350,45.5,1,12/01/23,January,Credit Card,Delivered,Before Time,Non Indian-Non Veg
ord_15074,Deepak Sharma,HSR Layout,Divya Patel,Pasta,200,16,2,12/01/23,January,UPI,Delivered,On Time,Non Indian-Veg
ord_15075,Anjali Jain,Malleswaram,Sneha Verma,Masala Dosa,100,15,1,12/01/23,January,Credit Card,Delivered,On Time,Indian-Veg
ord_15076,Rohan Patel,Indiranagar,Sneha Verma,Noodles,130,9.1,1,13/01/23,January,UPI,Delivered,Late,Non Indian-Non Veg
ord_15077,Kriti Patel,Whitefield,Anil Gupta,Chicken Biryani,220,17.6,2,13/01/23,January,Online Payment,Delivered,On Time,Indian-Non Veg
ord_15078,Rahul Sharma,MG Road,Siddharth Singh,Masala Dosa,100,8,1,13/01/23,January,UPI,Cancelled,Refund Initiated,Indian-Veg
ord_15079,Rohan Patel,Indiranagar,Anil Gupta,Noodles,130,19.5,1,14/01/23,January,UPI,Delivered,Late,Non Indian-Non Veg
ord_15080,Shreya Singh,Marathahalli,Ananya Reddy,Fish Curry,190,15.2,1,14/01/23,January,UPI,Delivered,Late,Indian-Non Veg
ord_15081,Shreya Singh,Marathahalli,Pooja Sharma,Samosa,20,3,5,14/01/23,January,UPI,Cancelled,Refund Initiated,Indian-Veg
ord_15082,Rohan Patel,Indiranagar,Sneha Verma,Sushi,350,35,1,14/01/23,January,Online Payment,Delivered,Late,Non Indian-Non Veg
ord_15083,Nisha Gupta,Koramangala,Rajesh Kumar,Paneer Tikka,180,19.8,1,14/01/23,January,UPI,Cancelled,Refund Initiated,Indian-Veg
ord_15084,Priya Singh,Brigade Road,Manoj Singh,Samosa,20,1.8,5,14/01/23,January,UPI,Delivered,On Time,Indian-Veg
ord_15085,Nisha Gupta,Koramangala,Ravi Tiwari,Sushi,350,24.5,1,14/01/23,January,Credit Card,Delivered,Late,Non Indian-Non Veg
ord_15086,Kriti Patel,Whitefield,Anil Gupta,Noodles,130,16.9,1,14/01/23,January,Credit Card,Delivered,On Time,Non Indian-Non Veg
ord_15087,Rahul Sharma,MG Road,Rajesh Kumar,Noodles,130,11.7,1,15/01/23,January,Online Payment,Delivered,On Time,Non Indian-Non Veg
ord_15088,Rahul Sharma,MG Road,Anil Gupta,Pav Bhaji,150,16.5,2,15/01/23,January,UPI,Delivered,On Time,Indian-Veg
ord_15089,Anjali Jain,Malleswaram,Ravi Tiwari,Masala Dosa,100,7,1,15/01/23,January,UPI,Delivered,Before Time,Indian-Veg
ord_15090,Rohit Singh,Indiranagar,Divya Patel,Pasta,200,12,2,15/01/23,January,Credit Card,Delivered,On Time,Non Indian-Veg
ord_15091,Neha Patel,Whitefield,Anil Gupta,Noodles,130,7.8,1,15/01/23,January,Online Payment,Delivered,Before Time,Non Indian-Non Veg
ord_15092,Anjali Jain,Malleswaram,Divya Patel,Paneer Tikka,180,10.8,1,16/01/23,January,Online Payment,Delivered,On Time,Indian-Veg
ord_15093,Karan Sharma,Marathahalli,Pooja Sharma,Butter Chicken,280,42,3,16/01/23,January,Credit Card,Delivered,Late,Indian-Non Veg
ord_15094,Nisha Gupta,Koramangala,Anil Gupta,Pav Bhaji,150,9,2,16/01/23,January,UPI,Delivered,Late,Indian-Veg
ord_15095,Rohit Singh,Indiranagar,Divya Patel,Butter Chicken,280,22.4,3,17/01/23,January,UPI,Delivered,On Time,Indian-Non Veg
ord_15096,Anjali Jain,Malleswaram,Sneha Verma,Butter Naan,50,6.5,4,17/01/23,January,UPI,Cancelled,Refund Initiated,Indian-Veg
ord_15097,Priya Singh,Brigade Road,Rajesh Kumar,Burger,120,7.2,1,17/01/23,January,UPI,Delivered,Before Time,Non Indian-Veg
ord_15098,Priyanka Singh,Koramangala,Pooja Sharma,Pizza,300,30,3,17/01/23,January,Credit Card,Delivered,Before Time,Non Indian-Veg
ord_15099,Rohit Singh,Indiranagar,Manoj Singh,Pasta,200,12,2,17/01/23,January,Online Payment,Delivered,On Time,Non Indian-Veg
ord_15100,Tanvi Gupta,BTM Layout,Sneha Verma,Pizza,300,21,3,18/01/23,January,Online Payment,Delivered,On Time,Non Indian-Veg
ord_15101,Tanvi Gupta,BTM Layout,Pooja Sharma,Burger,120,10.8,1,18/01/23,January,Credit Card,Delivered,Late,Non Indian-Veg
ord_15102,Priya Singh,Brigade Road,Divya Patel,Chicken Tikka,180,18,1,18/01/23,January,UPI,Delivered,Before Time,Indian-Non Veg
ord_15103,Rahul Sharma,MG Road,Divya Patel,Chicken Tikka,180,18,1,19/01/23,January,Credit Card,Cancelled,Refund Initiated,Indian-Non Veg
ord_15104,Akash Gupta,Jayanagar,Divya Patel,Paneer Tikka,180,9,1,19/01/23,January,Credit Card,Cancelled,Refund Initiated,Indian-Veg
ord_15105,Rahul Sharma,MG Road,Siddharth Singh,Butter Naan,50,7,4,19/01/23,January,Credit Card,Cancelled,Refund Not Initiated,Indian-Veg
ord_15106,Raj Kapoor,Malleswaram,Manoj Singh,Fish Curry,190,19,1,19/01/23,January,UPI,Cancelled,Refund Initiated,Indian-Non Veg
ord_15107,Sneha Jain,HSR Layout,Rajesh Kumar,Hakka Noodles,160,22.4,1,20/01/23,January,Online Payment,Cancelled,Refund Initiated,Non Indian-Non Veg
ord_15108,Priyanka Singh,Koramangala,Sneha Verma,Pasta,200,30,2,20/01/23,January,Online Payment,Delivered,On Time,Non Indian-Veg
ord_15109,Sneha Jain,HSR Layout,Ananya Reddy,Butter Chicken,280,30.8,3,20/01/23,January,Online Payment,Delivered,Before Time,Indian-Non Veg
ord_15110,Kriti Patel,Whitefield,Manoj Singh,Pasta,200,22,2,20/01/23,January,Online Payment,Delivered,Before Time,Non Indian-Veg
ord_15111,Priyanka Singh,Koramangala,Sneha Verma,Chicken Biryani,220,33,2,20/01/23,January,UPI,Delivered,On Time,Indian-Non Veg
ord_15112,Deepak Sharma,HSR Layout,Rajesh Kumar,Pav Bhaji,150,13.5,2,20/01/23,January,UPI,Delivered,Before Time,Indian-Veg
ord_15113,Pooja Patel,BTM Layout,Rajesh Kumar,Pav Bhaji,150,9,2,21/01/23,January,Credit Card,Delivered,On Time,Indian-Veg
ord_15114,Anjali Jain,Malleswaram,Anil Gupta,Chicken Biryani,220,11,2,21/01/23,January,Online Payment,Cancelled,Refund Initiated,Indian-Non Veg
ord_15115,Neha Patel,Whitefield,Ananya Reddy,Paneer Tikka,180,21.6,1,21/01/23,January,UPI,Delivered,On Time,Indian-Veg
ord_15116,Priya Singh,Brigade Road,Anil Gupta,Chicken Biryani,220,22,2,21/01/23,January,UPI,Delivered,On Time,Indian-Non Veg
ord_15117,Shreya Singh,Marathahalli,Siddharth Singh,Pasta,200,10,2,21/01/23,January,UPI,Cancelled,Refund Initiated,Non Indian-Veg
ord_15118,Deepak Sharma,HSR Layout,Pooja Sharma,Biryani,250,22.5,2,21/01/23,January,Credit Card,Delivered,Before Time,Indian-Veg
ord_15119,Raj Kapoor,Malleswaram,Manoj Singh,Butter Naan,50,3,4,22/01/23,January,Online Payment,Delivered,Late,Indian-Veg
ord_15120,Naveen Kumar,Koramangala,Ravi Tiwari,Masala Dosa,100,9,1,22/01/23,January,Credit Card,Delivered,Before Time,Indian-Veg
ord_15121,Arjun Shah,MG Road,Rajesh Kumar,Paneer Tikka,180,16.2,1,22/01/23,January,Online Payment,Delivered,On Time,Indian-Veg
ord_15122,Anjali Jain,Malleswaram,Ravi Tiwari,Hakka Noodles,160,9.6,1,22/01/23,January,UPI,Delivered,On Time,Non Indian-Non Veg
ord_15123,Kriti Patel,Whitefield,Sneha Verma,Biryani,250,27.5,2,23/01/23,January,Credit Card,Delivered,On Time,Indian-Veg
ord_15124,Rahul Sharma,MG Road,Sneha Verma,Veg Biryani,230,16.1,2,23/01/23,January,Online Payment,Delivered,Late,Indian-Veg
ord_15125,Naveen Kumar,Koramangala,Rajesh Kumar,Pav Bhaji,150,9,2,23/01/23,January,UPI,Cancelled,Refund Not Initiated,Indian-Veg
ord_15126,Karan Sharma,Marathahalli,Manoj Singh,Masala Dosa,100,9,1,23/01/23,January,Online Payment,Delivered,Late,Indian-Veg
ord_15127,Karan Sharma,Marathahalli,Siddharth Singh,Chicken Tikka,180,16.2,1,23/01/23,January,UPI,Delivered,Late,Indian-Non Veg
ord_15128,Kriti Patel,Whitefield,Siddharth Singh,Sushi,350,38.5,1,23/01/23,January,UPI,Delivered,Before Time,Non Indian-Non Veg
ord_15129,Raj Kapoor,Malleswaram,Siddharth Singh,Noodles,130,14.3,1,23/01/23,January,Online Payment,Delivered,Before Time,Non Indian-Non Veg
ord_15130,Tanvi Gupta,BTM Layout,Pooja Sharma,Pizza,300,36,3,23/01/23,January,Credit Card,Cancelled,Refund Initiated,Non Indian-Veg
ord_15131,Naveen Kumar,Koramangala,Ananya Reddy,Masala Dosa,100,12,1,23/01/23,January,Credit Card,Cancelled,Refund Initiated,Indian-Veg
ord_15132,Priyanka Singh,Koramangala,Siddharth Singh,Fried Rice,150,19.5,2,24/01/23,January,UPI,Delivered,Late,Non Indian-Veg
ord_15133,Kriti Patel,Whitefield,Ananya Reddy,Fried Rice,150,16.5,2,24/01/23,January,Online Payment,Cancelled,Refund Initiated,Non Indian-Veg
ord_15134,Priya Singh,Brigade Road,Divya Patel,Butter Chicken,280,14,3,24/01/23,January,Online Payment,Delivered,On Time,Indian-Non Veg
ord_15135,Neha Patel,Whitefield,Manoj Singh,Fried Rice,150,18,2,24/01/23,January,UPI,Delivered,On Time,Non Indian-Veg
ord_15136,Karan Sharma,Marathahalli,Anil Gupta,Butter Naan,50,4,4,24/01/23,January,Online Payment,Delivered,On Time,Indian-Veg
ord_15137,Tanvi Gupta,BTM Layout,Anil Gupta,Tandoori Chicken,280,30.8,3,24/01/23,January,UPI,Cancelled,Refund Initiated,Indian-Non Veg
ord_15138,Priyanka Singh,Koramangala,Divya Patel,Fish Curry,190,11.4,1,24/01/23,January,Credit Card,Delivered,On Time,Indian-Non Veg
ord_15139,Pooja Patel,BTM Layout,Siddharth Singh,Chicken Biryani,220,28.6,2,24/01/23,January,Online Payment,Delivered,On Time,Indian-Non Veg
ord_15140,Akash Gupta,Jayanagar,Divya Patel,Biryani,250,20,2,24/01/23,January,Online Payment,Delivered,Before Time,Indian-Veg
ord_15141,Deepak Sharma,HSR Layout,Sneha Verma,Biryani,250,30,2,24/01/23,January,Credit Card,Delivered,On Time,Indian-Veg
ord_15142,Arjun Shah,MG Road,Divya Patel,Pav Bhaji,150,10.5,2,24/01/23,January,UPI,Delivered,On Time,Indian-Veg
ord_15143,Sneha Jain,HSR Layout,Siddharth Singh,Chicken Biryani,220,15.4,2,24/01/23,January,Credit Card,Delivered,Late,Indian-Non Veg
ord_15144,Rohit Singh,Indiranagar,Rajesh Kumar,Butter Naan,50,2.5,4,24/01/23,January,Credit Card,Delivered,On Time,Indian-Veg
ord_15145,Naveen Kumar,Koramangala,Manoj Singh,Masala Dosa,100,14,1,25/01/23,January,Credit Card,Delivered,On Time,Indian-Veg
ord_15146,Tanvi Gupta,BTM Layout,Ravi Tiwari,Butter Chicken,280,16.8,3,25/01/23,January,Online Payment,Cancelled,Refund Initiated,Indian-Non Veg
ord_15147,Priyanka Singh,Koramangala,Ananya Reddy,Sushi,350,38.5,1,26/01/23,January,UPI,Delivered,On Time,Non Indian-Non Veg
ord_15148,Raj Kapoor,Malleswaram,Manoj Singh,Burger,120,12,1,26/01/23,January,UPI,Cancelled,Refund Initiated,Non Indian-Veg
ord_15149,Pooja Patel,BTM Layout,Siddharth Singh,Noodles,130,6.5,1,26/01/23,January,Online Payment,Cancelled,Refund Initiated,Non Indian-Non Veg
ord_15150,Priya Singh,Brigade Road,Pooja Sharma,Paneer Tikka,180,18,1,26/01/23,January,UPI,Cancelled,Refund Initiated,Indian-Veg
ord_15151,Deepak Sharma,HSR Layout,Divya Patel,Pasta,200,24,2,26/01/23,January,UPI,Delivered,On Time,Non Indian-Veg
ord_15152,Raj Kapoor,Malleswaram,Anil Gupta,Veg Biryani,230,20.7,2,26/01/23,January,UPI,Delivered,On Time,Indian-Veg
ord_15153,Rahul Sharma,MG Road,Rajesh Kumar,Biryani,250,15,2,27/01/23,January,UPI,Delivered,Before Time,Indian-Veg
ord_15154,Arjun Shah,MG Road,Siddharth Singh,Pizza,300,30,3,27/01/23,January,Online Payment,Delivered,On Time,Non Indian-Veg
ord_15155,Raj Kapoor,Malleswaram,Divya Patel,Pasta,200,26,2,28/01/23,January,Online Payment,Delivered,Late,Non Indian-Veg
ord_15156,Sneha Jain,HSR Layout,Manoj Singh,Chicken Biryani,220,28.6,2,28/01/23,January,UPI,Cancelled,Refund Not Initiated,Indian-Non Veg
ord_15157,Sneha Jain,HSR Layout,Siddharth Singh,Chicken Curry,200,10,2,28/01/23,January,UPI,Delivered,On Time,Indian-Non Veg
ord_15158,Rahul Sharma,MG Road,Rajesh Kumar,Butter Naan,50,6.5,4,28/01/23,January,Online Payment,Delivered,Late,Indian-Veg
ord_15159,Priyanka Singh,Koramangala,Ravi Tiwari,Chicken Biryani,220,24.2,2,28/01/23,January,UPI,Delivered,On Time,Indian-Non Veg
ord_15160,Rohit Singh,Indiranagar,Anil Gupta,Hakka Noodles,160,22.4,1,29/01/23,January,Online Payment,Delivered,On Time,Non Indian-Non Veg
ord_15161,Priya Singh,Brigade Road,Anil Gupta,Butter Chicken,280,22.4,3,29/01/23,January,Online Payment,Delivered,On Time,Indian-Non Veg
ord_15162,Karan Sharma,Marathahalli,Ravi Tiwari,Fish Curry,190,20.9,1,29/01/23,January,Online Payment,Delivered,Late,Indian-Non Veg
ord_15163,Nisha Gupta,Koramangala,Rajesh Kumar,Chicken Biryani,220,11,2,29/01/23,January,Online Payment,Cancelled,Refund Not Initiated,Indian-Non Veg
ord_15164,Raj Kapoor,Malleswaram,Pooja Sharma,Pasta,200,26,2,30/01/23,January,Credit Card,Delivered,On Time,Non Indian-Veg
ord_15165,Tanvi Gupta,BTM Layout,Ravi Tiwari,Noodles,130,15.6,1,30/01/23,January,UPI,Delivered,On Time,Non Indian-Non Veg
ord_15166,Neha Patel,Whitefield,Anil Gupta,Burger,120,8.4,1,30/01/23,January,UPI,Delivered,Before Time,Non Indian-Veg
ord_15167,Karan Sharma,Marathahalli,Siddharth Singh,Sushi,350,38.5,1,30/01/23,January,UPI,Delivered,Before Time,Non Indian-Non Veg
ord_15168,Raj Kapoor,Malleswaram,Divya Patel,Sushi,350,49,1,30/01/23,January,Credit Card,Delivered,On Time,Non Indian-Non Veg
ord_15169,Shreya Singh,Marathahalli,Siddharth Singh,Sushi,350,42,1,30/01/23,January,Online Payment,Delivered,Late,Non Indian-Non Veg
ord_15170,Karan Sharma,Marathahalli,Anil Gupta,Biryani,250,37.5,2,31/01/23,January,Credit Card,Delivered,On Time,Indian-Veg
ord_15171,Neha Patel,Whitefield,Ravi Tiwari,Noodles,130,16.9,1,31/01/23,January,Credit Card,Cancelled,Refund Not Initiated,Non Indian-Non Veg
ord_15172,Nisha Gupta,Koramangala,Rajesh Kumar,Pasta,200,12,2,31/01/23,January,Online Payment,Cancelled,Refund Initiated,Non Indian-Veg
ord_15173,Akash Gupta,Jayanagar,Anil Gupta,Butter Chicken,280,28,3,31/01/23,January,UPI,Delivered,Late,Indian-Non Veg
ord_15174,Sneha Jain,HSR Layout,Divya Patel,Tandoori Chicken,280,33.6,3,31/01/23,January,UPI,Delivered,Before Time,Indian-Non Veg
ord_15175,Naveen Kumar,Koramangala,Ravi Tiwari,Pav Bhaji,150,22.5,2,01/02/23,February,Credit Card,Delivered,Late,Indian-Veg
ord_15176,Deepak Sharma,HSR Layout,Manoj Singh,Hakka Noodles,160,16,1,01/02/23,February,Credit Card,Delivered,On Time,Non Indian-Non Veg
ord_15177,Naveen Kumar,Koramangala,Ananya Reddy,Fried Rice,150,7.5,2,01/02/23,February,UPI,Delivered,Late,Non Indian-Veg
ord_15178,Karan Sharma,Marathahalli,Ananya Reddy,Tandoori Chicken,280,25.2,3,01/02/23,February,UPI,Cancelled,Refund Initiated,Indian-Non Veg
ord_15179,Rohit Singh,Indiranagar,Ravi Tiwari,Hakka Noodles,160,24,1,01/02/23,February,Credit Card,Delivered,Late,Non Indian-Non Veg
ord_15180,Nisha Gupta,Koramangala,Anil Gupta,Biryani,250,17.5,2,01/02/23,February,UPI,Cancelled,Refund Initiated,Indian-Veg
